word;SemField;SemField2;Aktionsart2;1_3sg_pp;1_3sg_pres_ind;1_3sg_imp;inf;ger;extra;fr;intensified
inventare;verb.creation;;risultativo;Completion;;;;;v. tr.;Completion;sì
ammazzare;verb.emotion;verb.contact;puntuale telico;;Illocutionary Force;;;;v. tr.;Illocutionary Force;sì
sottolineare;verb.communication;;risultativo;;;;;;v. tr.;;no
dichiarare;verb.communication;;risultativo;;;;;;v. tr.;;no
costringere;verb.creation;verb.social;puntuale atelico;;;;;;v. tr.;;no
accettare;verb.possession;verb.communication;puntuale telico;Manner;Illocutionary Force;;;;v. tr.;Manner_Illocutionary Force;sì
impegnare1;verb.communication;verb.social;puntuale atelico;;;;;;v. tr.;;no
impegnare2;verb.social;;attivit√†;Duration;;;;;v. tr.;Duration;sì
attaccare1;verb.competition;verb.body;attivit√†;;;;;Reiteration;v. tr.;Reiteration;sì
attaccare2;verb.emotion;verb.contact;puntuale telico;Intensity;;;;;v. tr.;Intensity;sì
rivolgere;verb.motion;;puntuale atelico;;;;;;v. tr.;;no
tentare;verb.social;verb.communication;puntuale atelico;;;;;;v. tr.;;no
tendere;verb.motion;verb.change;attivit√†;;;;;;v. tr., v. intr.;;no
divertire;verb.social;verb.communication;attivit√†;Intensity;Intensity;;Intensity;Intensity;v. tr.;Intensity_Intensity_Intensity_Intensity;sì
tagliare;verb.communication;verb.change;risultativo;Argument Quantity;Illocutionary Force;;;;v. tr., v. intr.;Argument Quantity_Illocutionary Force;sì
rientrare;verb.motion;;puntuale telico;;;;;;v. intr., v. tr.;;no
baciare;verb.contact;;attivit√†;;Intensity;;Modal/sentence intensification;;v. tr.;Intensity_Modal/sentence intensification;sì
imparare;verb.cognition;;puntuale telico;;Illocutionary Force;;;;v. tr.;Illocutionary Force;sì
levare1;verb.change;verb.motion;puntuale atelico;;;;Illocutionary Force;;v. tr.;Illocutionary Force;sì
levare2;verb.change;verb.motion;puntuale telico;;;;;;v. tr.;;no
occorrere;verb.possession;;puntuale atelico;;;;;;v. intr.;;no
confermare;verb.stative;verb.social;puntuale atelico;Illocutionary Force;Illocutionary Force;;;;v. tr.;Illocutionary Force_Illocutionary Force;sì
fornire;verb.consumption;verb.possession;puntuale atelico;;;;;;v. tr.;;no
applicare;verb.consumption;;risultativo;;;;;;v. tr.;;no
citare;verb.communication;;puntuale atelico;Illocutionary Force;Illocutionary Force;;;;v. tr.;Illocutionary Force_Illocutionary Force;sì
descrivere;verb.creation;verb.communication;risultativo;;;;;;v. tr.;;no
emergere;verb.motion;verb.change;risultativo;;;;;;v. intr.;;no
fissare1;verb.cognition;verb.communication;risultativo;Intensity;;;;Intensity;v. intr.;Intensity_Intensity;sì
fissare2;verb.perception;;attivit√†;Manner;;;;Duration;v. intr.;Manner_Duration;sì
formare;verb.stative;verb.social;risultativo;;;;;;v. tr.;;no
importare;verb.emotion;verb.possession;puntuale telico;;;;;;v. intr., v. tr.;;no
correre1;verb.motion;verb.competition;attivit√†;Manner;;;;Manner;v. intr., v. tr.;Manner_Manner;sì
correre2;verb.motion;;risultativo;Manner;Manner;;Manner;;v. intr., v. tr.;Manner_Manner_Manner;sì
operare;verb.social;verb.competition;risultativo;;;;;;v. intr., v. tr.;;no
risultare;verb.change;verb.stative;puntuale atelico;;;;;;v. intr., v. tr.;;no
abituare;verb.social;;risultativo;Completion;;;;;v. tr.;Completion;sì
combattere;verb.social;verb.competition;attivit√†;;;;;;v. intr., v. tr.;;no
prevedere;verb.communication;verb.cognition;puntuale telico;Illocutionary Force;;;;;v. tr.;Illocutionary Force;sì
ridurre;verb.creation;verb.change;puntuale atelico;Argument Quantity;;;;;v. tr.;Argument Quantity;sì
salire;verb.change;verb.motion;risultativo;Argument Quantity;;;Argument Quantity;;v. intr., v. tr.;Argument Quantity_Argument Quantity;sì
correggere;verb.change;verb.cognition;risultativo;;;;;;v. tr.;;no
comportare;verb.stative;;attivit√†;;;;;;v. tr.;;no
chiarire;verb.communication;verb.cognition;risultativo;;;;;;v. tr., v. intr.;;no
evitare;verb.motion;verb.social;attivit√†;Manner;Completion;;Illocutionary Force;;v. tr.;Manner_Completion_Illocutionary Force;sì
trasformare;verb.change;;puntuale atelico;;;;;;v. tr.;;no
rimettere;verb.possession;verb.communication;puntuale telico;;;;;;v. tr., v. intr.;;no
raggiungere;verb.motion;verb.social;puntuale telico;;;;;;v. tr.;;no
battere1;verb.motion;verb.creation;puntuale atelico;;Reiteration;;;;v. tr.;Reiteration;sì
battere2;verb.emotion;verb.perception;puntuale telico;;;;;;v. tr.;;no
soffrire;verb.emotion;;attivit√†;Intensity;Intensity;;Intensity;;v. tr., v. intr.;Intensity_Intensity_Intensity;sì
curare;verb.social;verb.body;risultativo;;;;;;v. tr.;;no
introdurre;verb.motion;verb.social;risultativo;;;;;;v. tr.;;no
gestire;verb.social;;attivit√†;;;;;;v. tr.;;no
contenere;verb.social;verb.competition;attivit√†;Intensity;;;;;v. tr.;Intensity;sì
collegare;verb.contact;verb.communication;puntuale atelico;;;;;;v. tr., v. intr.;;no
bloccare;verb.change;verb.motion;puntuale atelico;Completion;Illocutionary Force;;Illocutionary Force;Manner;v. tr.;Completion_Illocutionary Force_Illocutionary Force_Manner;sì
coprire;verb.stative;verb.communication;risultativo;;;;;;v. tr.;;no
aumentare;verb.change;;attivit√†;;;;;Intensity;v. tr., v. intr.;Intensity;sì
colpire;verb.emotion;verb.possession;puntuale atelico;Intensity;;;;;v. tr.;Intensity;sì
insistere;verb.communication;verb.change;attivit√†;;Illocutionary Force;;;;v. intr.;Illocutionary Force;sì
concentrare;verb.cognition;;attivit√†;Intensity;Intensity;;Intensity;;v. tr.;Intensity_Intensity_Intensity;sì
osservare1;verb.social;verb.communication;puntuale atelico;;;;;;v. tr.;;no
osservare2;verb.social;verb.perception;attivit√†;;;;;;v. tr.;;no
accompagnare;verb.motion;verb.creation;puntuale atelico;;;;;;v. tr.;;no
liberare;verb.change;verb.motion;risultativo;Completion;;;;;v. tr.;Completion;sì
dirigere1;verb.social;verb.competition;attivit√†;;;;;;v. intr.;;no
dirigere2;verb.motion;;puntuale atelico;;;;;;v. tr.;;no
